sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6
A1-A1z,23937,-0.14696813265663164,-0.06465725235475885,0.035579129159818486,-0.004080875684670049,0.023679359917585015,-0.0
A1-A1du-A1z-A1ds-A1dr,24944,-0.14853988230354565,-0.030142328918089104,-0.008006945822042366,-0.036371930845137276,-0.011866134858370006,-0.0
A1-A1dm,24017,-0.14282792399448077,-0.10560660852999597,-0.05107366856816524,0.014509188349451923,0.0062676518917632856,-0.0
A1g/A1-A1l-A1cr-A1o-A1dp-A1p-A1dq-A1dn,24019,0.6852132072574412,-0.015032482314995642,0.0006267897897261296,-0.0004083392458574631,-0.00021980108202784116,-0.0
A1-A1z-A1do,24021,-0.1475687511152569,-0.054535255865938534,0.029277338918507305,0.021412049003546457,-0.02050479880162458,-0.0
A1-A1ds-A1z-A1dr-A1bh,24991,-0.09930851718752609,0.2699739279837784,-0.006402643477844852,0.004939908422664438,0.002643722932671843,-0.0
proportion_explained,0,0.8492059947857529,0.13871671479173123,0.0072673649913270275,0.0030546518621416777,0.0017552735690470542,0.0
