sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112
S3_E_ST_30B,45888,0.279390934,0.231603223,0.047878284,0.002485735,0.028394435,-0.001236023,0.000242237,0.000318546,-0.004287846,-0.016865772,-0.005989734,-0.008690688,-0.003063036,0.004762172,-0.001198244,0.004846138,0.000603426,0.000582929,0.001639484,-0.000472326,0.005698456,0.00012117,-0.001326736,-0.000807222,-0.000711492,-0.000163584,0.000390667,-0.000460039,-0.000514676,0.000122693,-0.000568027,-0.000232121,0.000773564,-3.25E-05,-0.000470735,-0.000150815,0.000214961,0.000137123,0.00052643,0.000667534,0.000154978,-6.56E-05,0.000620085,-0.000902977,-0.000246483,-0.000234075,-2.43E-05,-5.61E-05,0.002682285,-0.000950832,-0.000555216,-0.0017431,-0.001439655,0.002028444,-0.000610836,0.000158938,0.000477476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_ST_33B,45889,0.279780426,0.230516779,0.046668331,0.002911808,0.023589837,-0.00156532,-0.000126194,-0.000460646,-0.006373934,-0.022988319,-0.006957846,-0.009224068,-0.003249121,0.003463667,-0.000727746,0.001335044,0.000921393,0.001438061,0.000387908,0.001006029,0.004760104,5.85E-05,-0.001052322,-0.000805329,0.000314374,-0.000177538,-0.002138538,0.006387904,0.002823392,-0.000506767,0.003543787,-0.000692054,-0.002423368,-0.000341001,-5.04E-05,-0.000429673,0.000880051,0.000230838,0.000848778,0.001446971,0.000401158,3.43E-05,0.000307779,-0.000648551,-0.00045457,0.000120263,-0.00015511,9.31E-05,0.000446717,-0.000612198,-0.001183329,0.001346249,0.001425328,-0.001716422,0.000370192,5.89E-05,-8.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_E_ST_36B,45890,0.279153269,0.231915799,0.047812476,0.00235484,0.027575869,-0.001260345,0.000154159,3.36E-06,-0.005294634,-0.020282372,-0.00715415,-0.010482509,-0.003711123,0.005772439,-0.001393461,0.006643847,0.000672448,0.000704257,0.001777381,-0.000582923,0.005956445,2.97E-05,-0.001454122,-0.000982746,-0.000645152,2.69E-05,0.000458392,-0.00064275,-0.000539673,0.000131131,-0.000975206,-0.000516047,0.001871112,-0.000327897,-0.000781006,-0.000491977,0.001160848,0.001295018,-0.000921738,-0.000216284,-0.000108333,-0.00277646,0.004510164,-0.003649011,-0.000885283,-0.001309929,0.000343627,-0.000234507,-6.44E-05,0.000651252,0.000559523,5.79E-06,-5.05E-05,-0.000448051,0.000265018,-0.000419422,-0.000404794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_ST_30B,45891,0.296396213,-0.15995683,0.00342513,0.001928589,0.001951288,-0.000697202,6.11E-05,0.002736998,0.000471585,-0.001323097,-0.003306455,0.006734499,-0.003342447,0.009021278,0.008181345,-0.002387822,-0.002244798,0.004924871,0.000693844,-0.000398636,-0.000594072,0.004602235,0.00082122,0.001126286,-5.05E-05,0.000799433,0.001367065,0.000583869,-7.04E-05,-0.000124825,-0.000183867,-0.000404966,0.000196734,0.001358651,0.001596542,-0.002538734,-0.000448374,0.000227645,0.000758986,-0.000834616,0.001041342,4.53E-05,9.62E-05,-0.00049794,0.000915945,-0.000565764,-0.002575029,0.003719275,0.000149489,0.001073032,-0.000513932,0.000116623,-0.000787853,-0.000201007,0.000472373,0.000119245,5.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_ST_33B,45892,0.284515139,-0.205753848,0.013651699,-0.014400892,-0.004780338,0.001918458,-0.030435679,0.090877444,0.018881148,-0.002020514,-0.01077398,-0.013506354,-0.005779301,-0.01515641,0.008614767,-5.51E-05,-0.000181899,-0.001276782,0.000656612,0.000225216,-0.000499068,-0.00346915,-0.001549278,-0.002480795,-0.000163459,-0.002234163,0.002886786,0.002181633,-0.000179215,-0.000379458,-0.000212865,-0.001133116,0.000141842,-0.00028669,-0.00129259,0.002150643,0.000726726,0.000459739,0.000530533,-0.000286262,-0.000554668,-0.000298465,-0.000298993,0.000158891,-0.000153655,0.000144613,-6.61E-05,0.000316218,9.64E-06,0.000249415,-7.23E-05,-4.12E-05,-3.80E-05,-1.04E-05,-4.87E-05,6.91E-07,-4.57E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3_P_ST_36B,45893,0.293968587,-0.170003733,0.005507917,-0.000101741,0.001575344,-0.00064208,-0.001878992,0.0063992,0.000350563,-0.001729479,-0.002997052,0.009038756,-0.003377156,0.014158114,0.008775139,-0.003858111,-0.002877961,0.005303635,0.001837281,-0.001416816,-0.000419173,-0.001537655,0.001553288,0.002019009,-0.000172444,0.001074987,0.003092022,0.001401621,0.000223323,-0.000305748,-0.00048402,-0.000260065,0.000466912,0.0024792,0.002258816,0.00124112,0.001061715,-0.001181958,-0.002448117,0.003179851,-0.003010799,0.000239305,-0.000176861,-0.001322768,0.003391286,-0.000292723,-0.00155093,-0.000801087,2.85E-05,-8.76E-05,8.88E-05,-5.38E-05,0.000377584,0.000158917,-0.000107307,-8.49E-05,-4.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_ST_30B,45894,0.25346685,0.174641892,-0.137146722,-0.011624784,0.006682667,0.0099037,-0.002078757,0.004806356,0.000639687,0.001349649,-0.000742988,0.002373169,0.00241827,0.00357887,-0.005128823,0.00538627,-0.002477577,0.001903277,-0.00475824,0.002154453,0.001137083,-0.001131862,-0.000887516,-0.002525611,0.001186591,0.001424034,0.00150953,0.002408719,-0.005010546,0.003243191,-0.003801171,0.007526724,-0.007178077,-0.000339072,0.000308659,-2.05E-05,-0.00051245,-0.000625525,0.002919541,0.004504187,0.002660436,-0.005058649,0.00246918,0.003343255,0.001157726,0.000682316,-0.000201597,-0.000117981,-0.000239368,0.000286736,0.000356139,-0.000664539,-0.00029124,-4.60E-05,5.72E-05,-1.37E-06,-8.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_ST_33B,45895,0.25087787,0.172637593,-0.131885805,-0.004958659,0.007177796,-0.002146887,0.002849579,0.007948585,-0.000648416,0.003167282,-0.000841564,0.002614042,-0.001089856,0.004127699,-0.003644767,0.005690597,0.008562237,-0.004622983,-0.000880185,0.009425246,-0.000724003,0.000636782,-0.003367229,0.003901653,-0.003512192,-0.00328673,-0.001161878,0.004817549,-0.008321462,0.003435587,6.44E-05,-0.001794126,0.00051313,-0.001018945,0.000774755,-0.002640119,0.002905867,0.002101318,-0.001095015,0.000248782,-0.00112121,0.004053578,-0.000934736,-0.00170842,-0.000945829,-0.000247681,0.000643534,0.000117909,-0.000659837,-0.00063744,0.000878111,0.000288558,-0.000719486,0.00018677,1.37E-05,-1.19E-05,2.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_E_ST_36B,45896,0.257112488,0.177579256,-0.125161685,-0.009533253,0.005072111,0.009680086,-0.002466693,0.006156759,0.001732411,0.000921088,-0.001005975,0.002691713,0.002249803,0.003404735,-0.006669326,0.003292918,-0.001479605,-0.000278509,-0.003229978,-0.001701122,0.001836529,0.001215837,0.001148355,-0.000556799,0.000391084,-0.002126564,0.00087419,-0.003678745,0.004747275,-0.003706784,0.004288495,-0.008449721,0.001286331,-0.000860302,-0.000499209,-0.00191178,0.00285052,0.001014312,0.000332597,0.001495294,-0.000190827,-0.000590149,-0.000188514,1.95E-05,-0.000200966,0.0010231,0.000232626,0.000116416,1.87E-05,-0.000375554,0.000101825,0.000140553,0.000717884,9.50E-05,-5.07E-05,2.28E-05,0.000108052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4_P_ST_30B,45897,0.294064176,-0.159642664,0.003549898,0.001683606,0.001545729,-0.000498169,-0.000354345,0.005363746,0.002077921,0.001005138,-0.002501289,-0.006437232,-0.004468845,-0.005086208,0.015941688,0.001537601,-0.005217478,0.00398739,-0.0083575,0.001136445,0.002518855,0.010578935,0.004160645,0.005952614,0.000319434,0.001610322,-0.002469445,-0.001491975,1.76E-05,0.000173648,-0.000378807,0.000397936,0.000497831,0.00383308,0.003684895,-0.00150288,-4.33E-05,-0.001477034,-0.00096058,-0.000401649,0.002247552,0.000270885,0.000246908,0.00039446,-0.002963456,0.000920378,0.000328567,-0.001618418,-1.97E-05,0.000389375,-0.000505455,0.000208736,-0.000414491,3.02E-05,0.000183342,-1.45E-05,1.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
