,,,,host_info if applicable,,,,,,sampling info if applicable,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date (DD.MM.YY),collection_depth
S3-E-ST-39B,S3-E-ST-39B-ITS2_p1d09_L001_R1_001.fastq.gz,S3-E-ST-39B-ITS2_p1d09_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S3-P-LT-31A,S3-P-LT-31A-ITS2_p1b12_L001_R1_001.fastq.gz,S3-P-LT-31A-ITS2_p1b12_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S3-P-LT-33A,S3-P-LT-33A-ITS2_p1c07_L001_R1_001.fastq.gz,S3-P-LT-33A-ITS2_p1c07_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S3-P-LT-35A,S3-P-LT-35A-ITS2_p1d02_L001_R1_001.fastq.gz,S3-P-LT-35A-ITS2_p1d02_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S3-P-ST-39B,S3-P-ST-39B-ITS2_p1e11_L001_R1_001.fastq.gz,S3-P-ST-39B-ITS2_p1e11_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-E-LT-31A,S4-E-LT-31A-ITS2_p1a04_L001_R1_001.fastq.gz,S4-E-LT-31A-ITS2_p1a04_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-E-LT-33A,S4-E-LT-33A-ITS2_p1a11_L001_R1_001.fastq.gz,S4-E-LT-33A-ITS2_p1a11_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-E-LT-35A,S4-E-LT-35A-ITS2_p1b06_L001_R1_001.fastq.gz,S4-E-LT-35A-ITS2_p1b06_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-E-ST-39B,S4-E-ST-39B-ITS2_p1d10_L001_R1_001.fastq.gz,S4-E-ST-39B-ITS2_p1d10_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S4-P-LT-31A,S4-P-LT-31A-ITS2_p1c01_L001_R1_001.fastq.gz,S4-P-LT-31A-ITS2_p1c01_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-P-LT-33A,S4-P-LT-33A-ITS2_p1c08_L001_R1_001.fastq.gz,S4-P-LT-33A-ITS2_p1c08_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-P-LT-35A,S4-P-LT-35A-ITS2_p1d03_L001_R1_001.fastq.gz,S4-P-LT-35A-ITS2_p1d03_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S4-P-ST-39B,S4-P-ST-39B-ITS2_p1e12_L001_R1_001.fastq.gz,S4-P-ST-39B-ITS2_p1e12_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-E-LT-31A,S5-E-LT-31A-ITS2_p1a05_L001_R1_001.fastq.gz,S5-E-LT-31A-ITS2_p1a05_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-E-LT-33A,S5-E-LT-33A-ITS2_p1a12_L001_R1_001.fastq.gz,S5-E-LT-33A-ITS2_p1a12_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-E-LT-35A,S5-E-LT-35A-ITS2_p1b07_L001_R1_001.fastq.gz,S5-E-LT-35A-ITS2_p1b07_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-E-ST-39B,S5-E-ST-39B-ITS2_p1d11_L001_R1_001.fastq.gz,S5-E-ST-39B-ITS2_p1d11_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S5-P-LT-31A,S5-P-LT-31A-ITS2_p1c02_L001_R1_001.fastq.gz,S5-P-LT-31A-ITS2_p1c02_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-P-LT-33A,S5-P-LT-33A-ITS2_p1c09_L001_R1_001.fastq.gz,S5-P-LT-33A-ITS2_p1c09_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-P-LT-35A,S5-P-LT-35A-ITS2_p1d04_L001_R1_001.fastq.gz,S5-P-LT-35A-ITS2_p1d04_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S5-P-ST-39B,S5-P-ST-39B-ITS2_p1f01_L001_R1_001.fastq.gz,S5-P-ST-39B-ITS2_p1f01_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26302°,E 39.05165°,07.08.2019,8-Feb
S6-E-LT-31A,S6-E-LT-31A-ITS2_p1a06_L001_R1_001.fastq.gz,S6-E-LT-31A-ITS2_p1a06_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S6-E-LT-33A,S6-E-LT-33A-ITS2_p1b01_L001_R1_001.fastq.gz,S6-E-LT-33A-ITS2_p1b01_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
S6-E-LT-35A,S6-E-LT-35A-ITS2_p1b08_L001_R1_001.fastq.gz,S6-E-LT-35A-ITS2_p1b08_L001_R2_001.fastq.gz,coral,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,N 22.26189°,E 39.04878°,07.08.2019,8-Feb
