sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	surface.area_cm2	total.chlA.in.sample_ug	chlA_ug_cm2
S4-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	4E	5.26973088	-0.501621622	-0.095189229
S5-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	5E	5.58429408	10.82675676	1.938786998
S6-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	6E	4.50419712	3.600570571	0.799381216
S7-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	7E	3.38365632	3.846606607	1.136819536
S1-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	1P	4.88239776	24.44238438	5.006225544
S2-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	2P	7.49791104	16.30816817	2.175028229
S3-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	3P	2.74003392	10.58961562	3.864775373
S4-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	4P	2.84657952	9.099717718	3.196720012
S5-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	5P	2.3853168	7.340444444	3.07734572
S6-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	6P	7.29960576	15.32484084	2.099406645
S7-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	7P	5.7049008	9.178198198	1.608826958
S1-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	1E	7.32526368	14.81700901	2.022727052
S2-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	2E	16.25103072	17.62600601	1.084608497
S3-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	3E	4.75845696	11.39615616	2.394926812
S4-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	4E	5.69678304	8.275771772	1.452709663
S5-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	5E	6.3557712	17.52407808	2.757191461
S6-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	6E	6.98765184	11.37166366	1.627394141
S7-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	7E	12.61094016	18.05377177	1.431596022
S1-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	1E	15.64161888	28.08805405	1.795725511
S2-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	2E	10.07008128	18.32621622	1.819867755
S3-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	3E	4.58450496	8.03248048	1.752093312
S4-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	4E	6.798624	11.6867988	1.718994726
S5-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	5E	10.7357376	16.86615616	1.571029098
S6-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	6E	9.81582144	18.13868468	1.847902878
S7-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	7E	6.83529888	25.92675075	3.793067605
S1-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	1E	8.45247264	25.55939339	3.023895431
S2-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	2E	12.75300096	24.13243243	1.89229441
S3-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	3E	7.9300368	16.48001201	2.078175982
S4-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	4E	11.10669024	24.1046967	2.170286213
S5-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	5E	11.81264544	27.85616216	2.358164588
S6-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	6E	9.14016288	22.77400601	2.491641156
S7-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	7E	9.24308448	13.75493093	1.488132123
S1-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	1P	2.47461216	11.39956757	4.606607755
S2-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	2P	5.28002304	13.06772973	2.474938013
S3-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	3P	4.3574976	10.99870871	2.5240883
S4-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	4P	5.2156608	14.22607808	2.727569645
S5-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	5P	1.51149792	6.257717718	4.140076963
S6-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	6P	6.86081184	21.41151952	3.120843425
S7-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	7P	5.1395568	15.69527327	3.053818429
S1-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	1P	3.78606528	7.457201201	1.969644116
S2-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	2P	4.6517664	18.04932132	3.88010054
S3-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	3P	3.52803648	12.22417417	3.46486615
