sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	red	green	blue	replicate
S7-P-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Protected	7P	222.55	178.75	97.2	B
S1-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	1P	233.75	206.25	132.45	B
S2-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	2P	240.2	201.8	112.5	B
S3-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	3P	218.25	184.25	109.5	B
S4-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	4P	244.2	218.85	147.9	B
S5-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	5P	246.15	224.65	169.7	B
S7-P-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Protected	7P	211.25	180.25	99.5	B
S1-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	1E	131.3	94.6	38.8	A
S2-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	2E	171.5	128.15	49.15	A
S3-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	3E	156.05	113.65	53.7	A
S4-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	4E	148.35	112.85	56.35	A
S5-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	5E	140.7	100.75	45.85	A
S6-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	6E	197.7	154.3	74.4	A
S7-E-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Exposed	7E	162.5	131.55	59.8	A
S1-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	1E	171.95	127.5	49.35	A
S2-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	2E	161.7	121.15	35.5	A
S3-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	3E	144.15	93.55	24.1	A
S4-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	4E	168	118.75	40.3	A
S5-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	5E	161.15	120.05	41.55	A
S6-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	6E	207	170.35	78.75	A
S7-E-LT-33A	KAUST	Stylophora.pistillata	CLASSIC	33	Medium	Exposed	7E	183.45	145.95	51.35	A
S1-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	1E	236.45	207.2	113.85	A
S2-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	2E	248.3	210.75	117.7	A
S3-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	3E	155.25	104.3	44.45	A
S4-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	4E	232.5	185.15	102.55	A
S5-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	5E	210.95	173.45	83.5	A
S6-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	6E	254.6	254.5	222.7	A
S7-E-LT-35A	KAUST	Stylophora.pistillata	CLASSIC	35	High	Exposed	7E	224.4	199.55	109.3	A
S2-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	2P	180	139.05	59.6	A
S3-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	3P	130.05	97.65	47.75	A
S4-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	4P	164.3	122.35	50.45	A
S5-P-LT-31A	KAUST	Stylophora.pistillata	CLASSIC	31	Control	Protected	5P	198.85	161.65	78.55	A
