sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	surface.area_cm2	total.host.protein.in.sample_mg	host.protein_mg_cm2
S5-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	5E	5.58429408	0	0
S6-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	6E	4.50419712	0	0
S7-E-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Exposed	7E	3.38365632	0	0
S1-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	1P	4.88239776	1.084319078	0.222087411
S2-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	2P	7.49791104	0.701070237	0.093502075
S3-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	3P	2.74003392	0.662073747	0.241629763
S4-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	4P	2.84657952	0	0
S5-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	5P	2.3853168	0	0
S6-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	6P	7.29960576	0	0
S7-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	Protected	7P	5.7049008	0	0
S1-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	1E	7.32526368	1.81940292	0.24837371
S2-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	2E	16.25103072	2.059881277	0.126753885
S3-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	3E	4.75845696	0.775596863	0.162993355
S4-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	4E	5.69678304	1.207807964	0.212015791
S5-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	5E	6.3557712	2.012868842	0.316699387
S6-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	6E	6.98765184	1.228606092	0.175825316
S7-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	Exposed	7E	12.61094016	1.825252394	0.144735632
S1-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	1E	15.64161888	1.997053599	0.127675633
S2-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	2E	10.07008128	1.856882881	0.184396017
S3-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	3E	4.58450496	0.484639716	0.105712551
S4-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	4E	6.798624	1.276701764	0.187788259
S5-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	5E	10.7357376	2.129641666	0.198369385
S6-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	6E	9.81582144	2.124442134	0.216430397
S7-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Exposed	7E	6.83529888	2.404566922	0.351786654
S1-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	1E	8.45247264	3.021144764	0.357427334
S2-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	2E	12.75300096	2.400017332	0.188192359
S3-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	3E	7.9300368	1.406040123	0.177305624
S4-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	4E	11.10669024	2.690541185	0.242245091
S5-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	5E	11.81264544	3.578144634	0.302907985
S6-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	6E	9.14016288	2.493608909	0.27281887
S7-E-ST-36B	KAUST	Stylophora	CBASS	36	High	Exposed	7E	9.24308448	1.693314268	0.183197965
S1-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	1P	2.47461216	1.27388535	0.51478182
S2-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	2P	5.28002304	1.931842801	0.365877722
S3-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	3P	4.3574976	1.324797435	0.304027118
S4-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	4P	5.2156608	1.506347762	0.288812448
S5-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	5P	1.51149792	0.027080896	0.017916595
S6-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	6P	6.86081184	1.593873218	0.232315542
S7-P-ST-30B	KAUST	Stylophora	CBASS	30	Control	Protected	7P	5.1395568	0.998526799	0.194282666
S1-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	1P	3.78606528	0.359417652	0.09493171
S2-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	2P	4.6517664	1.040772997	0.223737159
S3-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	3P	3.52803648	1.468651155	0.416280037
S4-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	4P	3.86303904	1.307465661	0.338455203
S5-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	5P	7.43035968	1.506781056	0.202787095
S6-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	6P	3.62588448	1.012825512	0.279331986
S7-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	Protected	7P	10.65108096	3.2440747	0.304577039
S1-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	1P	4.85673984	1.36422722	0.280893617
S2-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	2P	3.5326752	1.53711166	0.435112648
S3-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	3P	4.94618016	1.961956757	0.396660998
S4-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	4P	4.50405216	0.739633433	0.164215113
S5-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	5P	2.22847008	0.374582954	0.168089739
S6-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	6P	5.501232	1.142597166	0.207698415
S7-P-ST-36B	KAUST	Stylophora	CBASS	36	High	Protected	7P	3.03067872	0.838857836	0.27678877
