sample.ID	location	coral.species	experiment	temperature	temp.intensity	replicate.group	tank	reef.site	genotype	raw.PAM.yield	yield
S4-P-LT-31B	KAUST	Stylophora	CLASSIC	31	Control	B	B1	Protected	4P	624	0.624
S6-P-LT-31B	KAUST	Stylophora	CLASSIC	31	Control	B	B1	Protected	6P	629	0.629
S5-P-LT-31B	KAUST	Stylophora	CLASSIC	31	Control	B	B1	Protected	5P	626	0.626
S7-P-LT-31B	KAUST	Stylophora	CLASSIC	31	Control	B	B1	Protected	7P	613	0.613
S3-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	3E	560	0.56
S2-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	2E	598	0.598
S7-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	7E	525	0.525
S1-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	1E	574	0.574
S4-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	4E	627	0.627
S5-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	5E	592	0.592
S4-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	4P	620	0.62
S6-E-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Exposed	6E	635	0.635
S2-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	2P	619	0.619
S1-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	1P	503	0.503
S5-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	5P	604	0.604
S3-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	3P	591	0.591
S7-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	7P	571	0.571
S6-P-LT-33B	KAUST	Stylophora	CLASSIC	33	Medium	B	B2	Protected	6P	608	0.608
S3-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	3E	382	0.382
S6-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	6E	NA	NA
S7-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	7E	307	0.307
S1-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	1E	25	0.025
S2-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	2E	187	0.187
S4-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	4E	336	0.336
S2-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	2P	536	0.536
S5-E-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Exposed	5E	184	0.184
S1-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	1P	512	0.512
S3-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	3P	484	0.484
S4-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	4P	491	0.491
S5-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	5P	521	0.521
S7-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	7P	236	0.236
S6-P-LT-35B	KAUST	Stylophora	CLASSIC	35	High	B	B3	Protected	6P	388	0.388
S1-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	1E	519	0.519
S2-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	2E	459	0.459
S3-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	3E	517	0.517
S4-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	4E	450	0.45
S5-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	5E	602	0.602
S6-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	6E	502	0.502
S7-E-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Exposed	7E	546	0.546
S1-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	1E	517	0.517
S2-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	2E	585	0.585
S3-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	3E	531	0.531
S4-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	4E	396	0.396
S5-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	5E	434	0.434
S6-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	6E	514	0.514
S7-E-ST-30B	KAUST	Stylophora	CBASS	30	Control	B	B1	Exposed	7E	531	0.531
S1-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	1P	512	0.512
S2-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	2P	426	0.426
S3-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	3P	425	0.425
S4-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	4P	477	0.477
S5-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	5P	470	0.47
S6-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	6P	575	0.575
S7-P-ST-30A	KAUST	Stylophora	CBASS	30	Control	A	A1	Protected	7P	463	0.463
